,RATE A,,RATE B,,RATE C,
03/09/2568 12.00,416,,,,,
03/09/2568 12.15,344,,,,,
03/09/2568 12.30,344,,,,,
03/09/2568 12.45,344,,,,,
03/09/2568 13.00,352,,,,,
03/09/2568 13.15,440,,,,,
03/09/2568 13.30,568,,,,,
03/09/2568 13.45,584,,,,,
03/09/2568 14.00,608,,,,,
03/09/2568 14.15,544,,,,,
03/09/2568 14.30,520,,,,,
03/09/2568 14.45,536,,,,,
03/09/2568 15.00,480,,,,,
03/09/2568 15.15,456,,,,,
03/09/2568 15.30,496,,,,,
03/09/2568 15.45,528,,,,,
03/09/2568 16.00,536,,,,,
03/09/2568 16.15,544,,,,,
03/09/2568 16.30,512,,,,,
03/09/2568 16.45,464,,,,,
03/09/2568 17.00,392,,,,,
03/09/2568 17.15,352,,,,,
03/09/2568 17.30,360,,,,,
03/09/2568 17.45,464,,,,,
03/09/2568 18.00,552,,,,,
03/09/2568 18.15,536,,,,,
03/09/2568 18.30,512,,,,,
03/09/2568 18.45,472,,,,,
03/09/2568 19.00,472,,,,,
03/09/2568 19.15,440,,,,,
03/09/2568 19.30,448,,,,,
03/09/2568 19.45,448,,,,,
03/09/2568 20.00,416,,,,,
03/09/2568 20.15,360,,,,,
03/09/2568 20.30,360,,,,,
03/09/2568 20.45,352,,,,,
03/09/2568 21.00,344,,,,,
03/09/2568 21.15,336,,,,,
03/09/2568 21.30,320,,,,,
03/09/2568 21.45,296,,,,,
03/09/2568 22.00,280,,,,,
03/09/2568 22.15,,,256,,,
03/09/2568 22.30,,,264,,,
03/09/2568 22.45,,,256,,,
03/09/2568 23.00,,,256,,,
03/09/2568 23.15,,,256,,,
03/09/2568 23.30,,,264,,,
03/09/2568 23.45,,,256,,,
03/09/2568 24.00,,,232,,,
04/09/2568 00.15,,,224,,,
04/09/2568 00.30,,,224,,,
04/09/2568 00.45,,,224,,,
04/09/2568 01.00,,,224,,,
04/09/2568 01.15,,,240,,,
04/09/2568 01.30,,,256,,,
04/09/2568 01.45,,,256,,,
04/09/2568 02.00,,,256,,,
04/09/2568 02.15,,,256,,,
04/09/2568 02.30,,,256,,,
04/09/2568 02.45,,,248,,,
04/09/2568 03.00,,,240,,,
04/09/2568 03.15,,,240,,,
04/09/2568 03.30,,,232,,,
04/09/2568 03.45,,,216,,,
04/09/2568 04.00,,,216,,,
04/09/2568 04.15,,,216,,,
04/09/2568 04.30,,,216,,,
04/09/2568 04.45,,,216,,,
04/09/2568 05.00,,,216,,,
04/09/2568 05.15,,,216,,,
04/09/2568 05.30,,,216,,,
04/09/2568 05.45,,,216,,,
04/09/2568 06.00,,,224,,,
04/09/2568 06.15,,,240,,,
04/09/2568 06.30,,,248,,,
04/09/2568 06.45,,,240,,,
04/09/2568 07.00,,,232,,,
04/09/2568 07.15,,,224,,,
04/09/2568 07.30,,,224,,,
04/09/2568 07.45,,,240,,,
04/09/2568 08.00,,,264,,,
04/09/2568 08.15,,,336,,,
04/09/2568 08.30,,,440,,,
04/09/2568 08.45,,,464,,,
04/09/2568 09.00,,,536,,,
04/09/2568 09.15,544,,,,,
04/09/2568 09.30,536,,,,,
04/09/2568 09.45,560,,,,,
04/09/2568 10.00,504,,,,,
04/09/2568 10.15,456,,,,,
04/09/2568 10.30,536,,,,,
04/09/2568 10.45,568,,,,,
04/09/2568 11.00,576,,,,,
04/09/2568 11.15,576,,,,,
04/09/2568 11.30,520,,,,,
04/09/2568 11.45,472,,,,,
04/09/2568 12.00,416,,,,,
04/09/2568 12.15,360,,,,,
04/09/2568 12.30,368,,,,,
04/09/2568 12.45,368,,,,,
04/09/2568 13.00,368,,,,,
04/09/2568 13.15,440,,,,,
04/09/2568 13.30,552,,,,,
04/09/2568 13.45,552,,,,,
04/09/2568 14.00,568,,,,,
04/09/2568 14.15,544,,,,,
04/09/2568 14.30,520,,,,,
04/09/2568 14.45,496,,,,,
04/09/2568 15.00,488,,,,,
04/09/2568 15.15,456,,,,,
04/09/2568 15.30,504,,,,,
04/09/2568 15.45,544,,,,,
04/09/2568 16.00,552,,,,,
04/09/2568 16.15,560,,,,,
04/09/2568 16.30,536,,,,,
04/09/2568 16.45,496,,,,,
04/09/2568 17.00,448,,,,,
04/09/2568 17.15,384,,,,,
04/09/2568 17.30,368,,,,,
04/09/2568 17.45,464,,,,,
04/09/2568 18.00,528,,,,,
04/09/2568 18.15,568,,,,,
04/09/2568 18.30,576,,,,,
04/09/2568 18.45,544,,,,,
04/09/2568 19.00,504,,,,,
04/09/2568 19.15,488,,,,,
04/09/2568 19.30,456,,,,,
04/09/2568 19.45,440,,,,,
04/09/2568 20.00,416,,,,,
04/09/2568 20.15,400,,,,,
04/09/2568 20.30,408,,,,,
04/09/2568 20.45,392,,,,,
04/09/2568 21.00,384,,,,,
04/09/2568 21.15,368,,,,,
04/09/2568 21.30,360,,,,,
04/09/2568 21.45,352,,,,,
04/09/2568 22.00,312,,,,,
04/09/2568 22.15,,,280,,,
04/09/2568 22.30,,,272,,,
04/09/2568 22.45,,,272,,,
04/09/2568 23.00,,,272,,,
04/09/2568 23.15,,,264,,,
04/09/2568 23.30,,,264,,,
04/09/2568 23.45,,,256,,,
04/09/2568 24.00,,,264,,,
05/09/2568 00.15,,,240,,,
05/09/2568 00.30,,,240,,,
05/09/2568 00.45,,,240,,,
05/09/2568 01.00,,,240,,,
05/09/2568 01.15,,,248,,,
05/09/2568 01.30,,,272,,,
05/09/2568 01.45,,,272,,,
05/09/2568 02.00,,,272,,,
05/09/2568 02.15,,,280,,,
05/09/2568 02.30,,,264,,,
05/09/2568 02.45,,,256,,,
05/09/2568 03.00,,,256,,,
05/09/2568 03.15,,,264,,,
05/09/2568 03.30,,,264,,,
05/09/2568 03.45,,,256,,,
05/09/2568 04.00,,,256,,,
05/09/2568 04.15,,,248,,,
05/09/2568 04.30,,,248,,,
05/09/2568 04.45,,,248,,,
05/09/2568 05.00,,,248,,,
05/09/2568 05.15,,,248,,,
05/09/2568 05.30,,,248,,,
05/09/2568 05.45,,,248,,,
05/09/2568 06.00,,,256,,,
05/09/2568 06.15,,,264,,,
05/09/2568 06.30,,,272,,,
05/09/2568 06.45,,,264,,,
05/09/2568 07.00,,,264,,,
05/09/2568 07.15,,,256,,,
05/09/2568 07.30,,,240,,,
05/09/2568 07.45,,,248,,,
05/09/2568 08.00,,,264,,,
05/09/2568 08.15,,,336,,,
05/09/2568 08.30,,,416,,,
05/09/2568 08.45,,,512,,,
05/09/2568 09.00,,,528,,,
05/09/2568 09.15,528,,,,,
05/09/2568 09.30,568,,,,,
05/09/2568 09.45,576,,,,,
05/09/2568 10.00,520,,,,,
05/09/2568 10.15,440,,,,,
05/09/2568 10.30,512,,,,,
05/09/2568 10.45,552,,,,,
05/09/2568 11.00,576,,,,,
05/09/2568 11.15,552,,,,,
05/09/2568 11.30,552,,,,,
05/09/2568 11.45,464,,,,,
05/09/2568 12.00,400,,,,,
05/09/2568 12.15,344,,,,,
05/09/2568 12.30,352,,,,,
05/09/2568 12.45,352,,,,,
05/09/2568 13.00,352,,,,,
05/09/2568 13.15,424,,,,,
05/09/2568 13.30,512,,,,,
05/09/2568 13.45,576,,,,,
05/09/2568 14.00,560,,,,,
05/09/2568 14.15,560,,,,,
05/09/2568 14.30,536,,,,,
05/09/2568 14.45,536,,,,,
05/09/2568 15.00,480,,,,,
05/09/2568 15.15,424,,,,,
05/09/2568 15.30,496,,,,,
05/09/2568 15.45,520,,,,,
05/09/2568 16.00,536,,,,,
05/09/2568 16.15,536,,,,,
05/09/2568 16.30,512,,,,,
05/09/2568 16.45,464,,,,,
05/09/2568 17.00,408,,,,,
05/09/2568 17.15,368,,,,,
05/09/2568 17.30,368,,,,,
05/09/2568 17.45,440,,,,,
05/09/2568 18.00,528,,,,,
05/09/2568 18.15,544,,,,,
05/09/2568 18.30,520,,,,,
05/09/2568 18.45,472,,,,,
05/09/2568 19.00,440,,,,,
05/09/2568 19.15,440,,,,,
05/09/2568 19.30,392,,,,,
05/09/2568 19.45,376,,,,,
05/09/2568 20.00,344,,,,,
05/09/2568 20.15,344,,,,,
05/09/2568 20.30,344,,,,,
05/09/2568 20.45,328,,,,,
05/09/2568 21.00,320,,,,,
05/09/2568 21.15,312,,,,,
05/09/2568 21.30,304,,,,,
05/09/2568 21.45,304,,,,,
05/09/2568 22.00,288,,,,,
05/09/2568 22.15,,,272,,,
05/09/2568 22.30,,,272,,,
05/09/2568 22.45,,,272,,,
05/09/2568 23.00,,,272,,,
05/09/2568 23.15,,,272,,,
05/09/2568 23.30,,,272,,,
05/09/2568 23.45,,,264,,,
05/09/2568 24.00,,,256,,,
06/09/2568 00.15,,,,,240,
